公司代码,年份,词频
000421,2008,0
000421,2009,0
000421,2010,0
000421,2011,0
000421,2012,0
000421,2013,0
000421,2014,1
000421,2015,1
000421,2016,0
000421,2017,0
000421,2018,0
000421,2019,1
000422,2017,1
000422,2018,1
000422,2019,1
000422,2007,1
000422,2008,0
000422,2009,0
000422,2010,0
000422,2011,0
000422,2012,0
000422,2013,0
000422,2014,0
000422,2015,0
000422,2016,1
000423,2007,0
000423,2008,0
000423,2009,0
000423,2010,2
000423,2011,1
000423,2012,1
000423,2013,5
000423,2014,7
000423,2015,2
000423,2016,0
000423,2017,1
000423,2018,0
000423,2019,5
000425,2007,0
000425,2008,0
000425,2009,0
000425,2010,0
000425,2011,0
000425,2012,0
000425,2013,1
000425,2014,0
000425,2015,1
000425,2016,3
000425,2017,9
000425,2018,20
000425,2019,27
000426,2007,0
000426,2008,0
000426,2009,0
000426,2010,0
000426,2011,0
000426,2012,0
000426,2013,0
000426,2014,0
000426,2015,0
000426,2016,0
000426,2017,0
000426,2018,0
000426,2019,0
000428,2007,0
000428,2008,0
000428,2009,0
000428,2010,0
000428,2011,0
000428,2012,0
000428,2013,0
000428,2014,1
000428,2015,2
000428,2016,8
000428,2017,4
000428,2018,3
000428,2019,2
000429,2007,0
000429,2008,0
000429,2009,0
000429,2010,0
000429,2011,0
000429,2012,0
000429,2013,0
000429,2014,0
000429,2015,0
000429,2016,2
000429,2017,2
000429,2018,1
000429,2019,0
000430,2007,0
000430,2008,0
000430,2009,0
000430,2010,0
000430,2011,0
000430,2012,0
000430,2013,0
000430,2014,2
000430,2015,1
000430,2016,0
000430,2017,0
000430,2018,0
000430,2019,0
000488,2007,0
000488,2008,0
000488,2009,0
000488,2010,2
000488,2011,0
000488,2012,0
000488,2013,2
000488,2014,3
000488,2015,0
000488,2016,0
000488,2017,0
000488,2018,0
000488,2019,0
000498,2007,0
000498,2008,0
000498,2009,0
000498,2010,0
000498,2011,0
000498,2012,0
000498,2013,0
000498,2014,0
000498,2015,0
000498,2016,1
000498,2017,0
000498,2018,0
000498,2019,0
000501,2007,0
000501,2008,0
000501,2009,0
000501,2010,0
000501,2011,0
000501,2012,0
000501,2013,5
000501,2014,3
000501,2015,2
000501,2016,3
000501,2017,11
000501,2018,1
000501,2019,2
000502,2007,0
000502,2008,0
000502,2009,0
000502,2010,0
000502,2011,0
000502,2012,0
000502,2013,0
000502,2014,0
000502,2015,0
000502,2016,2
000502,2017,0
000502,2018,2
000502,2019,1
000503,2018,43
000503,2019,60
000503,2007,45
000503,2008,48
000503,2009,42
000503,2010,48
000503,2011,14
000503,2012,13
000503,2013,19
000503,2014,9
000503,2015,26
000503,2016,56
000503,2017,42
000504,2019,5
000504,2007,0
000504,2008,2
000504,2009,3
000504,2010,4
000504,2011,2
000504,2012,2
000504,2013,1
000504,2014,0
000504,2015,0
000504,2016,4
000504,2017,0
000504,2018,1
000505,2007,0
000505,2008,0
000505,2009,0
000505,2010,0
000505,2011,0
000505,2012,0
000505,2013,1
000505,2014,0
000505,2015,0
000505,2016,0
000505,2017,1
000505,2018,3
000505,2019,4
000506,2007,0
000506,2008,0
000506,2009,0
000506,2010,0
000506,2011,0
000506,2012,0
000506,2013,0
000506,2014,0
000506,2015,0
000506,2016,0
000506,2017,0
000506,2018,0
000506,2019,0
000507,2007,0
000507,2008,0
000507,2009,0
000507,2010,0
000507,2011,1
000507,2012,0
000507,2013,1
000507,2014,0
000507,2015,0
000507,2016,0
000507,2017,1
000507,2018,1
000507,2019,0
000509,2007,0
000509,2008,0
000509,2009,0
000509,2010,0
000509,2011,0
000509,2012,0
000509,2013,0
000509,2014,0
000509,2015,1
000509,2016,1
000509,2017,0
000509,2018,0
000509,2019,0
000510,2019,0
000510,2007,0
000510,2008,0
000510,2009,0
000510,2010,0
000510,2011,0
000510,2012,0
000510,2013,0
000510,2014,0
000510,2015,0
000510,2016,0
000510,2017,0
000510,2018,0
000511,2007,0
000511,2008,0
000511,2009,0
000511,2010,0
000511,2011,0
000511,2012,0
000511,2013,0
000511,2014,2
000511,2015,2
000511,2016,2
000511,2017,3
000513,2007,0
000513,2008,0
000513,2009,0
000513,2010,0
000513,2011,0
000513,2012,0
000513,2013,0
000513,2014,1
000513,2015,3
000513,2016,0
000513,2017,0
000513,2018,0
000513,2019,0
000514,2007,0
000514,2008,0
000514,2009,0
000514,2010,0
000514,2011,0
000514,2012,0
000514,2013,0
000514,2014,0
000514,2015,0
000514,2016,0
000514,2017,0
000514,2018,1
000514,2019,0
000515,2007,0
000515,2008,0
000516,2007,0
000516,2008,0
000516,2009,0
000516,2010,2
000516,2011,1
000516,2012,3
000516,2013,2
000516,2014,5
000516,2015,16
000516,2016,4
000516,2017,6
000516,2018,5
000516,2019,7
000517,2007,0
000517,2008,0
000517,2009,0
000517,2010,0
000517,2011,0
000517,2012,0
000517,2013,0
000517,2014,1
000517,2015,0
000517,2016,0
000517,2017,0
000517,2018,0
000517,2019,0
000518,2007,0
000518,2008,0
000518,2009,0
000518,2010,0
000518,2011,0
000518,2012,0
000518,2013,0
000518,2014,0
000518,2015,0
000518,2016,0
000518,2017,0
000518,2018,0
000518,2019,0
000519,2007,0
000519,2008,0
000519,2009,0
000519,2010,0
000519,2011,0
000519,2012,0
000519,2013,0
000519,2014,0
000519,2015,0
000519,2016,1
000519,2017,0
000519,2018,0
000519,2019,0
000520,2007,0
000520,2008,0
000520,2009,0
000520,2010,0
000520,2011,0
000520,2012,0
000520,2013,0
000520,2014,0
000520,2015,0
000520,2016,0
000520,2017,0
000520,2018,0
000520,2019,0
000521,2007,2
000521,2008,0
000521,2009,2
000521,2010,2
000521,2011,2
000521,2012,0
000521,2013,9
000521,2014,3
000521,2015,23
000521,2016,11
000521,2017,10
000521,2018,8
000521,2019,5
000522,2007,0
000522,2008,0
000522,2009,0
000522,2010,0
000522,2011,0
000522,2012,0
000523,2007,0
000523,2008,0
000523,2009,0
000523,2010,0
000523,2011,1
000523,2012,2
000523,2013,12
000523,2014,16
000523,2015,6
000523,2016,13
000523,2017,3
000524,2007,0
000524,2008,0
000524,2009,0
000524,2010,0
000524,2011,0
000524,2012,0
000524,2013,0
000524,2014,0
000524,2015,1
000524,2016,5
000524,2017,3
000524,2018,3
000524,2019,13
000525,2007,0
000525,2008,0
000525,2009,0
000525,2010,0
000525,2011,0
000525,2012,0
000525,2013,0
000525,2014,0
000525,2015,14
000525,2016,0
000525,2017,6
000525,2018,2
000525,2019,1
000526,2007,0
000526,2008,0
000526,2009,0
000526,2010,0
000526,2011,0
000526,2012,0
000526,2013,0
000526,2014,0
000526,2015,0
000526,2016,0
000526,2017,0
000526,2018,7
000526,2019,13
000527,2007,0
000527,2008,0
000527,2009,0
000527,2010,0
000527,2011,1
000527,2012,2
000528,2007,0
000528,2008,0
000528,2009,0
000528,2010,0
000528,2011,0
000528,2012,0
000528,2013,0
000528,2014,1
000528,2015,1
000528,2016,0
000528,2017,2
000528,2018,3
000528,2019,5
000529,2007,0
000529,2008,1
000529,2009,0
000529,2010,0
000529,2011,1
000529,2012,10
000529,2013,3
000529,2014,3
000529,2015,7
000529,2016,16
000529,2017,2
000529,2018,2
000529,2019,3
000530,2019,11
000530,2007,0
000530,2008,0
000530,2009,0
000530,2010,0
000530,2011,0
000530,2012,0
000530,2013,0
000530,2014,2
000530,2015,1
000530,2016,1
000530,2017,5
000530,2018,4
000531,2007,0
000531,2008,0
000531,2009,0
000531,2010,0
000531,2011,0
000531,2012,1
000531,2013,1
000531,2014,1
000531,2015,0
000531,2016,1
000531,2017,1
000531,2018,0
000531,2019,0
000532,2007,0
000532,2008,0
000532,2009,0
000532,2010,0
000532,2011,0
000532,2012,0
000532,2013,1
000532,2014,2
000532,2015,5
000532,2016,3
000532,2017,3
000532,2018,1
000532,2019,2
000533,2007,0
000533,2008,0
000533,2009,0
000533,2010,0
000533,2011,1
