公司代码,年份,词频
000156,2018,智能家居-2
000156,2018,智能环保-1
000156,2019,大数据-2
000156,2019,数据可视化-1
000156,2019,云计算-2
000156,2019,物联网-7
000156,2019,网联-1
000156,2019,智能家居-3
000156,2019,智能环保-1
000157,2014,物联网-2
000157,2015,大数据-2
000157,2015,物联网-4
000157,2015,移动互联网-1
000157,2015,智慧农业-3
000157,2016,大数据-2
000157,2016,物联网-3
000157,2016,智慧农业-3
000157,2017,大数据-4
000157,2017,云计算-1
000157,2017,物联网-1
000157,2017,移动互联网-1
000157,2017,工业互联网-1
000157,2017,智慧农业-1
000157,2018,人工智能-4
000157,2018,大数据-1
000157,2018,物联网-2
000157,2018,工业互联网-5
000157,2018,智慧农业-3
000157,2019,人工智能-6
000157,2019,大数据-1
000157,2019,工业互联网-5
000157,2019,智慧农业-3
000157,2019,金融科技-1
000158,2014,电子商务-1
000158,2015,大数据-6
000158,2015,云计算-12
000158,2015,移动互联-2
000158,2015,电子商务-9
000158,2016,大数据-5
000158,2016,云计算-10
000158,2016,物联网-1
000158,2016,移动互联网-1
000158,2016,电子商务-7
000158,2017,人工智能-2
000158,2017,大数据-30
000158,2017,云计算-10
000158,2017,物联网-2
000158,2017,区块链-1
000158,2017,移动互联网-2
000158,2018,人工智能-19
000158,2018,机器学习-4
000158,2018,深度学习-1
000158,2018,自然语言处理-1
000158,2018,大数据-45
000158,2018,文本挖掘-1
000158,2018,异构数据-1
000158,2018,云计算-16
000158,2018,物联网-3
000158,2018,区块链-4
000158,2018,分布式计算-1
000158,2018,工业互联网-1
000158,2018,电子商务-1
000158,2018,智能交通-1
000158,2019,人工智能-38
000158,2019,机器学习-2
000158,2019,深度学习-1
000158,2019,自然语言处理-1
000158,2019,大数据-64
000158,2019,数据挖掘-4
000158,2019,云计算-19
000158,2019,物联网-11
000158,2019,区块链-14
000158,2019,分布式计算-1
000158,2019,工业互联网-1
000158,2019,智能交通-1
000158,2019,智能客服-2
000301,2009,物联网-1
000301,2010,电子商务-1
000301,2011,电子商务-1
000301,2012,电子商务-2
000301,2013,电子商务-2
000301,2014,电子商务-1
000301,2015,O2O-2
000301,2015,移动互联-1
000301,2015,电子商务-3
000301,2016,大数据-1
000301,2016,O2O-1
000301,2016,移动互联-1
000301,2016,电子商务-7
000301,2017,大数据-3
000301,2017,电子商务-1
000301,2019,电子商务-2
000333,2013,大数据-3
000333,2013,云计算-1
000333,2013,物联网-5
000333,2013,电子商务-1
000333,2013,B2B-1
000333,2013,B2C-2
000333,2013,智能家居-1
000333,2014,人工智能-1
000333,2014,大数据-5
000333,2014,云计算-2
000333,2014,物联网-8
000333,2014,O2O-3
000333,2014,移动互联网-2
000333,2014,移动互联-6
000333,2014,电子商务-3
000333,2014,B2B-1
000333,2014,智能家居-7
